word	coef
(Intercept)	-23.79081377802560
cheese	-52.6812141573874
get	10.584905746062600
minute	62.615351683352500
order	81.126361502037
sausage	61.10992596379650
standing	-300.004765757631
waited	-61.239697152126600
watching	102.05272409231200
wrong	214.23815284583700
acros	-500.49186030905800
ate	161.99812627937700
bathroom	182.68372695383100
busy	156.1314400834870
double	-208.56211741881800
got	194.85002991715900
great	-83.36121231312650
joint	187.47822531012100
maybe	-15.272593150711500
quite	19.764896207778
something	-269.25117939233200
spend	198.59304467050500
time	80.26131942286580
whopper	-142.82360586837100
attitude	227.85124988974600
care	-109.93883244428200
clean	-123.59911859706800
dirty	-18.781048322805200
floor	-174.53902456801200
ice	176.88660471254700
just	4.210740325019260
last	175.4214297833190
like	24.277171446018400
location	33.90787724430350
look	285.76564883228900
machine	147.55092562585800
make	-155.3977962094700
man	-91.8816142174875
manager	138.59709230358600
nasty	16.287102377241500
night	-299.0177095544280
opened	-37.99192856205750
soda	93.28699072561570
sticky	463.85699493387500
store	-94.3288454142082
sweet	-281.1938292726000
table	187.5479658528180
taste	-230.3413336719870
tea	-793.3215152023380
water	219.96559112703400
extra	-74.13209342849620
gave	-123.30235709459000
hot	173.10401135524000
outside	264.3868334691440
quick	142.56652594006300
star	-39.158885385196000
stopped	-404.8460244117650
cajun	215.84368111564000
cheeseburger	43.662540864530400
five	219.8260375610620
frie	228.90184475303800
giving	-187.26482802261200
good	-63.229223451638900
know	-70.46719324827000
reason	-364.05505932685600
stand	336.97376905873700
top	-362.5089115311840
way	-1.5425247666603700
asked	-199.99906053894900
away	-146.33730533205600
back	263.91268649141600
basically	212.008881900123
`break`	156.2621358931500
checked	-238.34953844043800
come	-238.07426336176400
customer	-198.72866480763000
decided	-379.1848906038390
drove	-10.205559429251900
even	137.08716867779500
except	-118.9754153405780
experience	-1.6453491487483100
fact	-308.6191807186260
fall	628.6437641486520
fast	-51.80836816148850
feel	230.90030641981800
finally	80.83681015260500
first	-168.9626292583740
getting	89.38834492645460
girl	300.21803485015700
give	-82.52122410957290
greeted	297.97142439496100
hold	-251.040969687184
hour	-175.93874807863200
job	11.30592780595870
life	396.7926344978750
literally	-122.97064010908500
live	678.4062017119880
longer	-83.43584780701260
made	213.43252221447300
messed	72.18144381948770
name	-104.48934377389800
need	84.55166237611190
needed	13.953719619167500
`next`	127.12643252031400
obviously	-304.1808478543150
option	199.91849268530300
poor	67.34794109941520
prepared	116.03970374391300
probably	-49.90939647116650
really	1.5088954449196000
request	-248.77643096963600
review	211.30836180445000
rude	-181.2225103033390
service	-39.8923025365235
shift	-73.99563165831320
start	-132.77453236369600
sure	106.51723133853000
terrible	30.969564327135900
treated	81.43459965614120
twice	68.02921856900000
two	38.97870325029650
type	-319.6035370522740
window	-179.79107046009400
wish	216.54727919827800
word	-271.2427337798290
work	-37.839238009302700
worked	-179.40457738698900
worker	48.277112693517900
young	-72.00936370461490
bag	-181.01339802659300
box	54.779151071863700
bring	194.95054899676400
called	-93.04671923966320
can	77.7570306367129
chicken	-125.23858709624700
extremely	-120.51847288428900
grilled	338.21054203925000
help	-80.93371164773190
item	-290.94871028460400
lettuce	-21.868078260803600
open	-125.68331926462700
ordered	297.93664911522900
pie	142.042138320203
problem	-72.45089660147650
receive	-182.11626909036600
said	-48.25250521220280
sandwich	-137.6616899561740
see	283.54398109670900
seemed	119.53931148474600
several	197.56538799607100
show	-200.66267458400800
sorry	-111.74134480241900
today	-175.1776203755400
well	129.63575989644600
busines	207.9853594815690
continue	148.64049358489100
employee	-114.41570491306000
ever	-79.24240756982850
move	142.7304578399870
place	-2.507027760505870
possible	-75.10728032183800
stay	46.24170518554390
understand	-181.258960562678
addition	544.3318943077520
alway	92.4849572229939
close	-159.37302942691100
correct	-124.2860197238510
drive	-35.91597458862480
easy	279.50874298018600
friendly	-116.9704460753320
least	37.96321216808220
never	-107.1692613048630
people	-31.000538838768800
right	-275.77620711044800
road	-77.17665821848220
sat	132.82646425999900
slow	-69.99528868166630
waiting	-153.44720038037600
able	154.53185458489400
actually	378.4471556167780
almost	84.36060691695970
amount	-151.43752211641300
another	-223.14079381023600
around	268.9466778371660
behind	-24.390981453451300
came	-268.57742194328500
case	-806.6855218007280
cashier	-38.547907413727400
counter	255.27873273725400
crew	662.8368891723720
definitely	91.89246903073330
dining	307.2717876768790
evening	117.78842580990600
every	-8.616501912552440
everyone	-12.837824862957700
everything	52.440958471988000
family	77.84983155263490
half	8.049071644094200
incompetent	-23.953592940350500
incorrect	-375.34948612576000
kind	-358.2815903152850
kitchen	-747.0921520977410
month	-131.03284255123700
multiple	-454.8425794089920
nothing	-37.879849738391100
noticed	39.90635926239470
one	205.90560727494800
pick	-136.5306741545670
placed	-303.106910603951
plan	-300.1990091835520
playing	299.2440762702120
point	-170.82090596844100
pretty	-95.08524357200010
refund	-90.57986935060620
room	-263.1863662344820
saw	-222.9187784308260
serving	166.12902000465200
simple	2.5258536331107100
since	-113.70883370113200
sitting	82.06173123168130
situation	-78.18595701931150
still	307.52021065082500
take	191.98968703600700
though	-202.64139997106200
took	109.60383326122500
wait	53.160795340907600
went	13.295709395017000
working	-1.59962422528672
also	130.49106065607800
high	18.28373299885080
must	561.7393562816130
pulled	-30.209835195623700
quality	287.08773562924900
recently	-21.17906592605690
sad	-446.64958368799000
screw	-252.7328689345260
standard	220.98932336490600
started	-74.0995290979793
stop	46.68049971890340
supposed	241.56742440380100
thing	-166.81384724052700
watched	-686.8564160081060
better	64.0902277938381
either	95.78331108112000
full	-324.4417447670270
long	-185.90255972569400
